"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000067031",1,120400,0,0,0,0,0,0,120400,1,"Con Ingreso Positivo"
"0000067041",1,182400,0,0,0,0,1,36000,218400,1,"Con Ingreso Positivo"
"0000067051",1,88400,0,0,0,0,0,0,88400,1,"Con Ingreso Positivo"
"0000068011",1,85200,0,0,0,0,1,36000,121200,1,"Con Ingreso Positivo"
"0000068021",1,168000,0,0,0,0,0,0,168000,1,"Con Ingreso Positivo"
"0000068031",1,540000,0,0,0,0,1,15000,555000,1,"Con Ingreso Positivo"
"0000068041",1,96000,0,0,0,0,0,0,96000,1,"Con Ingreso Positivo"
"0000068051",1,301200,0,0,0,0,0,0,301200,1,"Con Ingreso Positivo"
"0000069011",1,171600,0,0,0,0,0,0,171600,1,"Con Ingreso Positivo"
"0000069041",1,439400,0,0,0,0,1,15000,454400,1,"Con Ingreso Positivo"
"0000069051",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000070011",1,282000,0,0,0,0,0,0,282000,1,"Con Ingreso Positivo"
"0000070021",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000070031",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000070041",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000070051",1,168000,0,0,0,0,0,0,168000,1,"Con Ingreso Positivo"
"0000071011",1,96000,0,0,0,0,1,38400,134400,1,"Con Ingreso Positivo"
"0000071021",1,96000,1,60000,0,0,1,36000,192000,1,"Con Ingreso Positivo"
"0000071031",1,301600,0,0,0,0,0,0,301600,1,"Con Ingreso Positivo"
"0000072021",1,112800,0,0,0,0,1,240000,352800,1,"Con Ingreso Positivo"
"0000073011",1,171600,0,0,0,0,0,0,171600,1,"Con Ingreso Positivo"
"0000073021",1,208000,0,0,0,0,0,0,208000,1,"Con Ingreso Positivo"
